id,TEXT,LABEL
10175,"Эстетично біздің горшоктар ұзын болғандықтан тура келмейдекен, майда горшоктарға ауыстырсак идельно болады.",Продукт
6510,"Подушка очень понравилась, спасибо большое курьеру, доставили на три дня раньше указанного срока.","Продукт,Доставка позитив"
10877,"доставка ужасная,весь помятый пришел,пришлось делать возврат","Товар или упаковка поврежден,Доставка негатив,Возврат,Возврат,Товар или упаковка поврежден,Доставка негатив"
13492,это не оригинал или после airpods pro не могу воспринимать хз по звуку качество,Подделка
733,"Барлығы керемет ,сол күні  доставка жасады.Рахмет",Доставка позитив
5597,Оказалось не по размеру.,Другой товар
13703,"Ұнады қызыма, 4 жасқа 110 алдық.",Продукт
2457,"Жақсы, мен бірнеше рет тапсыпыс бердім.",Неинформативный
4618,"Мен озм 39, 5 размер заказ берып едм но 40, 5 размер салып жверген хочу сделать возврат.","Другой товар,Возврат"
12762,"сапасы жоқ, іші және сырты.",Товар плохого качества
5353,"Недоволен покупкой. Привезли вместо Торнадо, какой то Циклон. Работает медленно. Не очень. Жалею, что не вернул сразу. Катастрофа.",Другой товар
8443,"Средство классное! Но доставка 9 дней, я хотела уже возврат оформить.","Доставка негатив,Продукт"
9820,Хорошее качество. Быстрая доставка.,"Продукт,Доставка позитив"
10496,"брала такой же год назад, был немного другой аромат и стойкий, хватало пару пшиков, а этот не стойкий совсем, сколько не лей на себя. разочаровалась. упаковка будто уже была вскрыта, внутри лежали куски коробки. надеюсь он не был использован.",Подделка
10667,"вообще я не их тех кто любить писать негативы, но этот товар мне реально не понравился, не брызгается, не пенятся, скажу что это 100 % подделка",Подделка
7496,Рахмет үлкен таппай жүрген едім ?,"Продавец,Товар плохого качества"
3595,Керемет қатты ұнады өзіме. Түсіде әдемі. Қонақтарға таратып бердім. Баламның 40 нан шығаруға алған едім. Рақмет үлкен Назым ИП. Достовка уақытында келді.,"Доставка позитив,Продукт,Продавец"
13654,"Үлкен болып қалды, возврат істеу үшін фотоға түсуім керек екен.",Неинформативный
9574,"Ужасно, очень жидкий, подделка либо сильно разбавленный водой.",Подделка
11800,"не оригинал, качество такое себе.. но пойдет, за 2к следовало ожидать. не знаю насколько хватит","Подделка,Цена"
5923,"Отличный магазин, профессионалы своего дела!",Продавец
3115,"Ип Mariana вообще без ответственные люди качество ужасные весна осень такие шубки не одеваем а на зиму очень тонко и не качественно тем более живем в Центр Казахстане, сдела возврат еще в 2024 г где то 10 декабря до сих пор возврат не нажали не совет не стыда ттт вам Садақа сонымен кетсін бәрі 🙌🏻🙌🏻🙌🏻🙌🏻 не покупайте именно этого магазина","Возврат,Товар плохого качества"
13979,"Өте әдемі, рақмет, ұнады қатты әдемі көрінеді, Каспи рақмет.","Продукт,Каспи"
9993,"Цвет темный, ни как в картинках вообще ни как в картинках я еще удивилась почему так дешева.",Другой товар
8504,"Су _x001A_тпейді деп жаз_x001A_ан , су _x001A_теді екен . Бас_x001A_а т_x001A_с тапсырыс бергем , бас_x001A_а т_x001A_сі келді",Другой товар
6978,"Пришла без сменной наволочки, хотя в описании она заявлена. А так в целом неплохая за свою цену.",Неполная комплектация
4111,Кітап өте карапайым. Ашык тусындырылып жазылган. Барлық сыркаттардын шешымы берылген. Менын барлык ауруларымнын диагнозы тура. Бауыржан мырза айтқандай кітапта тура шықты. Кітап үшін мың алғыс!.,Продукт
13889,"Өте керемет упаковка вооб<unk>е супер, олай күтпенген едім қызым қуанып садикке жыламай тұрып кетті рахмет Қасында айнасыда бар екен.","Продукт,Продавец"
3509,"Келген мойынормалды ашып жатқанда ішінен екі кәмпит тауып алдық, сатушыға рахмет. Платок сапасы жақсы екен, түсі қанық дәл суреттегідей.","Продавец,Продукт"
13128,товар пришёл во время но после проверки перестал работать бракованный прошу поменять или вернуть деньги,"Доставка позитив,Товар плохого качества"
6786,"При получении нужно пересчитывать и проверять, обманывают, из 50 шт привезли 42.",Неполная комплектация
9314,"Тура суреттегідей керемет, ұнады.",Продукт
10862,"доставка на высоком уровне. раньше срока. единственное, на шине имеется много заводских «усиков». есть мнение от специалистов, что их не должно быть, говорят она обозначается, что пресс-форма на заводе не лучшего качества.",Доставка позитив
4097,Кірді ашпайды дұрыс көпірмейді.,Товар плохого качества
7541,"Рахмет, тез әрі жылдам жеткізеді.",Доставка позитив
8864,"Тез жетті, уақытынан бұрын күшті екен. Рахмет сатушыға.",Доставка позитив
9385,"У магазина проблемы с коммуникациями и заменой товара, который они неправильно доставили. Крем ещё не пробовала. В магазин больше не обращусь.",Продавец
10664,вообще пилинг не делает.,Товар плохого качества
1793,"Диванды уақытылы әкеп, сразу құрып берді, бізге ұнады, керемет, әкеліп құрып берген балаларға көп рахмет!",Доставка позитив
1692,"Граммы аз 1, 10шықпайды алданып қалдым уже барлық нәрсе болған соң возврат жасаңыз дейді.",Другой товар
4202,"Көп көп рақмет, ұлыма қатты ұнады.",Продавец
6651,"Получила растение! На папоротник совсем не похоже. Но всё равно, спасибо продавцу и Каспи!","Другой товар,Продавец"
6119,Очень качественное обслуживание 100%!,Продавец
493,"Ішіне сумен араластырып куйып койыпты ужаской анау, возврат жасаткым келеды, я в шоке как можно так","Товар плохого качества,Возврат"
8178,"Спасибо большое продавцу за внимательность, за заботу, это очень так приятно! Продавец контролировал всё через смс от отправки товара до получения товара, благодарю за отличную работу!)",Продавец
157,"3 недели примерно как пользуюсь, перхоть как была так и есть, заказала из за хороших отзывов здесь, в общем пустая трата денег.",Товар плохого качества
13758,Әдемі келді.,Неинформативный
12268,"плохого качества, пришла с оторваными дверями. не стоит своих денег.",Товар или упаковка поврежден
11291,"качество ужасное, поравалось в первый же день, не правильно сшиты шорты, 13800 вообще не стоит, так пожалела что купила, размер подошёл, свободно сел поравалось после 1 часа носки .материал явно не подходит для сшивания .не советую брать, деньги на ветер","Цена,Товар плохого качества"
4220,Көп рақмет. Уақытынан ерте әкеп берді,Доставка позитив
8769,"Там написано 120вт, а отправили 54 вт, зачем написать 120 если лампа 54 ваттов.",Другой товар
8205,"Спасибо большое. заказываю только в этом магазине, доставка как всегда быстро и во время. курьеру ильзату отдельное cпасибо","Доставка позитив,Продавец"
2287,Жа_x001A_сы. Фотодагыдай золотистый туси келе ма деп ойлаганмын. Кызылын салып жiберiптi.,Другой товар
10312,"Я не доволен магазином, отправили порошок, вместо капсул.","Продавец,Другой товар"
11661,"на фотографии хорошо. я заказала 15 декабря на день рождения, 50 лет юбилей. привезли веник, розы не свежие. упаковка ужасная. стеснялась подарить этот букет. цена еще не дешевая.",Товар плохого качества
965,Бракованный заряд алмайды мулдем возврат жасадым магазин жауапкершилик жок Калай жасамай Турган товар жиберед тексерип жиберсин.,Возврат
11492,левый наушник не рабочий. попался брак,Товар плохого качества
9353,"Тёплые, уютные.",Продукт
2252,"Еш өкінбеймін, неге бұрын алмағам.",Неинформативный
9258,"Тон күшті тұрады, ноо оригинал болмаған соң ұзақ уақыт ұстап тұрмайды.",Подделка
2578,"За такую цену пойдет. Кто возмущается, что стенки тонкие, заказывайте за 30к.!",Цена
438,_x001A_те нашар. Брак шы_x001A_ты. Жанында_x001A_ы кнопкасы басылмайды!? <unk> ualityve ауыстырып бері_x001A_із!? Ерігіп ж_x001A_рген ешкім жо_x001A_!?.,Вопрос клиента
12266,плохо тянут.,Товар плохого качества
4367,"Магазин “Monika” оригинал, качество.","Продавец,Продукт"
1614,"Всё классно, всё работает, доставили раньше срока, берите, не пожалеете.","Доставка позитив,Продукт"
4520,"Маған керегі оң жақ артқы есіктікі еді маған салып жібергені сол жақ есіктікі. Оң, Сол таңдайтын ештеңе болған жоқ.",Другой товар
7670,Розовыйдан сал каныктау цвет Маган унады.,Продукт
8346,"Спасибо продавцу, всё как заказывали, доставка всё в срок.",Доставка позитив
6625,Получил не тот набор.,Другой товар
12117,осылай сынык адам тегін алып жаткан жок.,Товар или упаковка поврежден
12255,"пластик хороший, крепкий, подошел на хавал джолион 2022 все крепления в комплекте, упакована хорошо, доставка быстрая, рекомендую продавца. три звезды потому что цвет очень светло-черный, к черной машине не особо подходит.","Товар плохого качества,Доставка позитив"
